tag_name,url,game_count
Puzzle,https://steamdb.info/tag/1664/?min_reviews=500,32359
Action-Adventure,https://steamdb.info/tag/4106/?min_reviews=500,24177
Arcade,https://steamdb.info/tag/1773/?min_reviews=500,22588
Shooter,https://steamdb.info/tag/1774/?min_reviews=500,19522
Platformer,https://steamdb.info/tag/1625/?min_reviews=500,16739
Visual Novel,https://steamdb.info/tag/3799/?min_reviews=500,15963
Roguelike,https://steamdb.info/tag/1716/?min_reviews=500,12517
Sandbox,https://steamdb.info/tag/3810/?min_reviews=500,11544
Action RPG,https://steamdb.info/tag/4231/?min_reviews=500,11180
Point & Click,https://steamdb.info/tag/1698/?min_reviews=500,11070
Action Roguelike,https://steamdb.info/tag/42804/,9277
Interactive Fiction,https://steamdb.info/tag/11014/,8948
Turn-Based Strategy,https://steamdb.info/tag/1741/,8414
Tabletop,https://steamdb.info/tag/17389/,7395
Dating Sim,https://steamdb.info/tag/9551/,7104
Walking Simulator,https://steamdb.info/tag/5900/,7019
JRPG,https://steamdb.info/tag/4434/,6879
Education,https://steamdb.info/tag/1036/,6793
Party-Based RPG,https://steamdb.info/tag/10695/,6448
Card Game,https://steamdb.info/tag/1666/,6233
Life Sim,https://steamdb.info/tag/10235/,6188
Design & Illustration,https://steamdb.info/tag/84/,5408
Strategy RPG,https://steamdb.info/tag/17305/,4645
Utilities,https://steamdb.info/tag/87/,4530
Board Game,https://steamdb.info/tag/1770/,4302
RTS,https://steamdb.info/tag/1676/,4190
Tower Defense,https://steamdb.info/tag/1645/,4096
City Builder,https://steamdb.info/tag/4328/,3778
Web Publishing,https://steamdb.info/tag/1038/,3232
Beat 'em up,https://steamdb.info/tag/4158/,3177
Automobile Sim,https://steamdb.info/tag/1100687/,2756
2D Fighter,https://steamdb.info/tag/4736/,2623
Rhythm,https://steamdb.info/tag/1752/,2450
Farming Sim,https://steamdb.info/tag/87918/,2340
3D Fighter,https://steamdb.info/tag/6506/,2214
Auto Battler,https://steamdb.info/tag/1084988/,2027
Word Game,https://steamdb.info/tag/24003/,2022
eSports,https://steamdb.info/tag/5055/,1943
Colony Sim,https://steamdb.info/tag/220585/,1921
Grand Strategy,https://steamdb.info/tag/4364/,1900
Space Sim,https://steamdb.info/tag/16598/,1886
Animation & Modeling,https://steamdb.info/tag/872/,1803
MMORPG,https://steamdb.info/tag/1754/,1680
Battle Royale,https://steamdb.info/tag/176981/,1648
Audio Production,https://steamdb.info/tag/1027/,1209
God Game,https://steamdb.info/tag/5300/,1202
Party Game,https://steamdb.info/tag/7178/,1177
Video Production,https://steamdb.info/tag/784/,1139
4X,https://steamdb.info/tag/1670/,1045
MOBA,https://steamdb.info/tag/1718/,911
Photo Editing,https://steamdb.info/tag/809/,648
